RST Digital Inclinometer Data
File Version,2.20
File Type,Digital Inclinometer
Site,SHIMEN
Borehole,B1
Probe Serial#,DP06180000
Reel Serial#,DR11760000
Reading Date(m/d/y),08/15/2011,11:23:45
Depth,-29.5,-0.5
Interval,0.5
Depth Units,meters
Reading Units,mm
Operator,
Comment:
Comment End:
Offset Correction,0.000000

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-15.97196,17.07081,-2.3404,3.27104
-1,-2.05714,3.12163,2.18455,-1.3447
-1.5,6.98925,-6.01281,7.8437,-7.01842
-2,9.31082,-8.26747,5.18019,-4.38603
-2.5,11.01789,-9.89934,4.48222,-3.67987
-3,9.55403,-8.64028,2.81193,-1.97571
-3.5,8.30774,-7.30697,2.60271,-1.74867
-4,7.52198,-6.48049,1.04771,-0.25045
-4.5,5.62471,-4.60153,-1.67155,2.54252
-5,4.63491,-3.57972,-6.18697,6.96892
-5.5,4.86657,-3.91936,-7.0907,8.12597
-6,6.28078,-5.33901,-1.1669,1.78042
-6.5,4.69937,-3.6062,-2.75617,3.56557
-7,6.12439,-5.12378,-2.57445,3.35819
-7.5,7.18285,-6.1395,-1.11781,1.97244
-8,6.54769,-5.54314,-2.81177,3.6006
-8.5,7.24877,-6.49483,-5.16419,5.97812
-9,5.7095,-4.38495,-4.31538,5.20448
-9.5,4.24414,-3.27972,-1.1994,2.00948
-10,5.90095,-4.98769,3.08927,-2.31149
-10.5,9.24527,-8.27947,3.83848,-2.97861
-11,7.49248,-6.50435,2.89981,-2.06836
-11.5,3.54464,-2.51128,5.20344,-4.42394
-12,1.48532,-0.37761,10.50931,-9.71091
-12.5,12.46268,-11.41523,8.40907,-7.42793
-13,31.24353,-30.40551,0.63924,0.22745
-13.5,28.78126,-27.48471,1.34845,-0.53506
-14,16.32341,-15.44935,-1.66792,2.64551
-14.5,1.62841,-0.47087,-9.30049,10.11894
-15,-9.66074,10.64397,-7.36842,8.17815
-15.5,-6.91623,7.9421,2.68099,-1.81228
-16,5.33275,-4.29127,10.84106,-10.052
-16.5,15.79904,-14.85906,13.18999,-12.2768
-17,16.85564,-15.90003,11.39634,-10.50976
-17.5,5.64771,-4.5939,8.58255,-7.77881
-18,-5.73501,6.57821,3.34749,-2.53785
-18.5,-5.41193,6.44196,-4.46772,5.21079
-19,2.66274,-1.60093,-10.57046,11.42137
-19.5,10.1162,-9.17413,-9.98429,10.73962
-20,16.15621,-15.18835,-4.17499,4.97669
-20.5,23.27269,-22.2691,2.84225,-2.09146
-21,21.83378,-20.85606,7.79079,-6.97621
-21.5,10.35491,-9.3252,3.56598,-2.74775
-22,-0.27386,1.31408,-0.48037,1.30525
-22.5,0.45581,0.571,1.99382,-1.16805
-23,3.96252,-2.93458,2.00976,-1.1635
-23.5,7.94427,-6.94696,0.20111,0.66762
-24,7.76283,-6.70327,-2.43996,3.2446
-24.5,9.05723,-8.0283,-3.81429,4.60919
-25,9.89161,-8.86456,-4.12491,4.95878
-25.5,11.56751,-10.472,-3.19246,3.98278
-26,11.69826,-10.65824,-1.62767,2.43161
-26.5,11.38831,-10.35703,-1.2536,2.08406
-27,9.95659,-8.91604,0.27259,0.55898
-27.5,7.15581,-6.11942,0.923,-0.12181
-28,7.12491,-6.07544,0.58837,0.23355
-28.5,9.6279,-8.57533,-0.34172,1.15029
-29,10.81803,-9.7264,-1.74477,2.6026
-29.5,7.88949,-6.9047,-1.96801,2.80588
