RST Digital Inclinometer Data
File Version,2.21
File Type,Digital Inclinometer
Site,SHIMEN
Borehole,B1
Probe Serial#,DP21730000,Cal Date (m/d/y),01/08/2019
Reel Serial#,DR31080000
Reading Date(m/d/y),11/11/2021,12:22:59
Depth,-29.0,0.5
Interval,0.5
Depth Units,meters
Reading Units,mm
Operator,
Comment:
Comment End:
Offset Correction,0.000000,Incline Angle,0.00

Depth,Face A+,Face A-,Face B+,Face B-

-0.5,-17.75706,17.27641,-0.08944,0.95707
-1.0,-2.73979,2.19073,1.94316,-1.17118
-1.5,6.79012,-7.47183,8.20668,-7.37153
-2.0,9.10428,-9.70720,5.02328,-4.26223
-2.5,10.77435,-11.36538,4.16357,-3.37173
-3.0,9.08906,-9.68137,2.43585,-1.58053
-3.5,7.96095,-8.60690,2.22024,-1.37491
-4.0,7.13203,-7.74865,0.73768,0.06534
-4.5,4.98352,-5.60700,-1.98023,2.78465
-5.0,3.95079,-4.57634,-6.36208,7.15402
-5.5,4.23962,-4.74329,-7.26132,8.19669
-6.0,5.48835,-6.36122,-1.14486,1.84884
-6.5,3.91882,-4.50626,-2.88134,3.62440
-7.0,5.42192,-6.05308,-2.57917,3.34620
-7.5,6.46516,-7.06398,-1.19339,2.02149
-8.0,5.89144,-6.53172,-3.02204,3.74302
-8.5,6.53676,-7.23701,-5.31048,6.18186
-9.0,4.97353,-5.48723,-4.38297,5.10762
-9.5,3.35665,-4.04407,-1.36993,2.14753
-10.0,5.38812,-6.03318,3.31611,-2.52016
-10.5,8.74688,-9.39163,3.86617,-3.09775
-11.0,6.61977,-7.27845,2.60834,-1.85181
-11.5,2.48328,-3.20829,5.17273,-4.44866
-12.0,0.84228,-1.31532,10.70404,-9.87649
-12.5,12.82091,-13.35026,8.02619,-7.13986
-13.0,31.79712,-32.62701,-0.16252,0.86052
-13.5,27.85881,-28.33469,1.27388,-0.46168
-14.0,15.12646,-15.94562,-1.95358,2.81805
-14.5,0.17914,-0.81873,-9.68610,10.45843
-15.0,-11.43549,10.68573,-6.91992,7.87814
-15.5,-7.42224,6.84066,3.29424,-2.47239
-16.0,5.83734,-6.39364,10.99447,-10.18816
-16.5,15.80772,-16.39280,12.33134,-11.53126
-17.0,16.36428,-17.03291,10.76758,-9.96869
-17.5,4.78478,-5.45970,8.94078,-8.11873
-18.0,-7.02874,6.36022,3.63353,-2.82063
-18.5,-6.82454,6.21399,-4.29124,5.05161
-19.0,1.72188,-2.31415,-10.79042,11.60681
-19.5,9.67478,-10.33539,-10.28841,11.02646
-20.0,15.83380,-16.45085,-4.37043,5.17734
-20.5,22.69749,-23.30629,2.78653,-1.97497
-21.0,20.67629,-21.39259,8.19137,-7.23965
-21.5,9.02994,-9.71146,3.17185,-2.35010
-22.0,-1.39545,0.74689,-0.75317,1.60406
-22.5,-0.17854,-0.40713,2.05660,-1.20706
-23.0,3.31489,-3.92449,1.92200,-1.10982
-23.5,7.18827,-7.86908,0.08242,0.77397
-24.0,6.98028,-7.54715,-2.60529,3.41796
-24.5,8.26936,-8.86316,-3.92260,4.71475
-25.0,9.15054,-9.77858,-4.18398,4.99953
-25.5,10.72729,-11.30181,-3.27794,4.05659
-26.0,10.78787,-11.40010,-1.66489,2.44915
-26.5,10.66391,-11.29541,-1.35708,2.17924
-27.0,8.92354,-9.52163,0.27923,0.51461
-27.5,6.33408,-6.96561,0.90997,-0.08833
-28.0,6.34541,-6.95434,0.51976,0.30544
-28.5,9.04895,-9.66989,-0.48904,1.28606
-29.0,9.78017,-10.42320,-1.86060,2.79823
